seek_url,job_detail_title,job_detail_location,job_detail_classifications,job_detail_work_type,job_detail_salary,jobAdDetails,raw_data_path,extraction_time
https://www.seek.com.au/job/86988683?type=standard&ref=search-standalone#sol=cb5e31f2afde55e5a2061bd00e410de3d791c991,Software Engineer,Adelaide SA,Engineering - Software (Information & Communication Technology),Full time,"$95,000 – $110,000 per year","Position:Software EngineerWork Location:Adelaide, SAEmployment Type:Full-timeSalary:AUD $95,000 – $110,000 per year, depending on experienceCompany OverviewHomes Supermarket (万家超市) is a well-established and locally renowned Asian supermarket brand in South Australia. We operate three retail outlets across metropolitan Adelaide and a central warehouse serving as our headquarters. Over the years, the group has become a trusted destination for high-quality Asian groceries and related products.Our City Branch headquarters drives digital transformation, managing core IT systems, membership platforms, online store operations, and data analytics to support business growth, operational excellence, and innovative customer experiences.About the RoleDue to strategic growth initiatives, we are seeking a professionalSoftware Engineerto join our City Branch technology team. You will be responsible for developing and maintaining our membership management system, O2O online store, personalized recommendation engine, and data analytics platform. This role directly contributes to improving member engagement, driving online-offline integration, and implementing innovative features to support our business expansion plans.Key Responsibilities· Build and maintain business systems, including membership, ordering, and stock management.· Support both web and mobile applications with reliable back-end services.· Help create features such as promotions and product recommendations.· Work closely with product, marketing, and operations teams to deliver practical solutions.· Support testing, deployment, and system documentation.· Ensure systems are stable, secure, and run smoothly.· Assist with cloud platforms and modern development tools (e.g., AWS, Azure, Docker, Jenkins).Requirements· Bachelor’s degree in software engineering, Computer Science, or a related field.· At least 5 years of software development experience.· Proficiency in one or more modern programming languages (such as Java, Python, or similar).· Experience with web or mobile application development.· Good knowledge of databases (such as MySQL).· Familiar with system integration and APIs.· Experience with cloud services or DevOps tools (e.g., AWS, Azure, CI/CD pipelines, Docker) is an advantage.· Strong teamwork, communication, and problem-solving skills.How to Apply· Please submit your resume and a brief cover letter outlining your suitability for this position.· We appreciate all applications; however, only shortlisted candidates will be contacted.",data\raw\Unknown_Company_Software Engineer_86988683_20250926_134523,2025-09-26T13:45:28.189866
https://www.seek.com.au/job/87294695?type=standard&ref=search-standalone#sol=ca07f84057e623ac761b78261dd6483321d5bcb7,Software Engineer,Adelaide SA,Engineering - Software (Information & Communication Technology),Full time,Competitive base salary,"Are you ready for a new challenge? An exciting opportunity has become available to join our team in the role of a Software Engineer based in Adelaide.Who We AreAerometrex is a trusted and leading geospatial tech company specialising in providing geospatial solutions & insights for our customers. Our key products - MetroMap, LiDAR and 3D visualisation models support wide-ranging industries and customer requirements. The Company, established in 1980, comprises of a strong Board, Executive group and a highly talented team of people with significant industry experience.About the roleReporting to the Software Engineering Manager, you will work as part of a Software Engineering team responsible for automated processing and delivery of aerial imagery and derived products using the latest AWS technologies. This role is focused primarily on the data delivery side of this process, developing robust and scalable new features for Aerometrex and its derived products as well as working on improving the existing system.This is an exciting domain with classic big data challenges around solving architecture problems for rapid data chunking and streaming, high performance rendering in the browser, and processing pipelines in the backend for larger data download requests and machine learning models.Key Responsibilities•	Deliver high-quality software solutions across the full stack (front end, back end, database, cloud).•	Build responsive, accessible, and performant UIs using modern frameworks such as React or Angular.•	Develop and maintain reliable Python-based APIs and microservices, ensuring scalability and security.•	Design and optimise SQL/NoSQL databases for performance, reliability, and data integrity.•	Deploy and operate applications in AWS or Azure, and contribute to CI/CD pipeline automation.•	Write clean, testable, and well-documented code; maintain high levels of test coverage.•	Participate in code reviews, providing constructive feedback and supporting engineering standards.•	Collaborate closely with the Product team, Support team, Marketing, and ICT to deliver features that meet customer and business needs.•	Take ownership of deliverables, balancing delivery speed with long-term quality and maintainability.•	Contribute to team knowledge sharing through documentation, demos, or mentoring.•	Step up to lead small projects or initiatives and support other engineers in their growth.•	Continuously learn and apply new technologies, frameworks, and industry best practices.About youEssential skills and experience:•	A degree in Engineering, Computer Science, or equivalent training (bootcamps/accelerated learning pathways/demonstrated experience considered).•	3+ years of software development experience, including strong hands-on Python skills.•	Proven experience developing and maintaining web applications with modern languages and frameworks (e.g. Python, JavaScript/TypeScript, React, Angular).•	Solid understanding of SQL databases such as MySQL or PostgreSQL.•	Experience with AWS (1+ years), ideally with exposure to data processing technologies.•	Ability to write well-structured, tested, and documented code.•	Experience with CI/CD tools (Bitbucket Pipelines preferred).•	Experience with containerisation technologies such as Docker.•	Strong analytical and problem-solving skills, particularly when working with complex data or performance optimisation challenges.Desirable skills (nice to have):•	Experience with front-end frameworks such as React or Angular.•	Exposure to working with large volumes of spatial or geospatial data.•	Experience writing automated tests across unit, integration, or end-to-end levels.•	Experience working in an Agile/Scrum environment.Why Work with usWe understand that your career choices are important. At Aerometrex we take pride in our company culture and aim to foster an environment where every voice is heard, ideas are valued, and collaboration is the cornerstone of our success. We are deeply committed to developing our Employee Value Proposition (EVP) as we believe in investing in our employees' growth and well-being. Some employee benefits you can expect if you join our team include:•	The opportunity to work with a team of talented & friendly professionals•	Employee Assistance Program (free counselling)•	Salary packaging/Novated leasing through Maxxia•	Internal staff events and celebrations•	Working from Home options (for eligible roles)If you're someone who embraces change, welcomes challenges, and is eager to carve out a unique career path within our company, then this opportunity may be for you.* We thank all applicants for their interest in this role however only shortlisted candidates will be contacted* No recruitment agencies please",data\raw\Unknown_Company_Software Engineer_87294695_20250926_134526,2025-09-26T13:45:30.763398
https://www.seek.com.au/job/86827899?type=standard&ref=search-standalone#sol=746ea84d34f8584f7e315adc6e9a927bc17b2b59,Software Programmer,"Virginia, Adelaide SA",Developers/Programmers (Information & Communication Technology),Part time,"$90,000 – $100,000 per year","About Us:As one of the largest and most trusted garden centres in the country, Virginia Nursery Pty Ltd has earned a reputation for quality, service and innovation. With our own dedicated production nursery, we grow the majority of the plants sold in our garden centre, ensuring that our customers receive fresh, healthy products every time.At Virginia Nursery, we are committed to constant improvement and growth, leveraging the latest automation technologies and advanced software systems to enhance our operations. By embracing efficiency, we aim to provide a seamless and exceptional experience for both our customers and team, while continuing to expand our business and offerings to meet the growing demands of the market.The Role:The role involves designing, developing, and maintaining both the front-end and back-end components of software applications, ensuring seamless integration, functionality, and user experience.We’re on the lookout for a versatile and experienced Microsoft Access & SQL programmer who can also provide general IT support. If you enjoy working on exciting software projects and solving everyday tech challenges, this could be the perfect role for you.What You'll Do:Design, develop and maintain software using Microsoft Access and SQLTroubleshoot and optimize existing Access databases and SQL queriesProvide general IT support (basic troubleshooting, setup, and maintenance)Work flexiblyWhat We’re Looking For:Proficiency in Microsoft Access (VBA, forms, reports)Strong SQL skills (queries, database design, optimisation)Experience in general IT support (Windows, Office, networking basics, hardware/software issues)Problem-solving mindset and ability to work independentlyInterested? Send your CV or portfolio tohr@virginianursery.com.auWe’re excited to meet someone who loves tech as much as we do!",data\raw\Unknown_Company_Software Programmer_86827899_20250926_134522,2025-09-26T13:45:27.843001
https://www.seek.com.au/job/87119498?type=standard&ref=search-standalone#sol=37931be2a4fe93f02e92d55635406384a31a0b11,Software Developer/Engineer (Customer Facing),"Unley, Adelaide SA",Engineering - Software (Information & Communication Technology),Full time,,"About usAt One Solution, we are a trusted leader in delivering innovative and tailored IT solutions across Australia, with a strong base in Unley, South Australia. With over 10 years of industry experience, we specialise in helping businesses of all sizes optimise their technology and achieve their goals.What We DoWe offer a comprehensive range of ICT services, including managed ICT support, cloud solutions, cybersecurity, and strategic ICT consulting. Our team of dedicated experts takes a customer-focused approach, ensuring businesses thrive in an ever-evolving digital landscape.Why Join UsBe part of a dynamic team that values innovation, collaboration, and growth.Enjoy a supportive work culture where your ideas and expertise truly make a difference.Benefit from opportunities for professional development and career progression in a fast-paced industry.Work on exciting projects with a diverse range of clients across various industries.About YouYou are naturally curious and thrive on exploring new ideas and concepts.You have an open mind and embrace learning opportunities, always eager to challenge yourself and grow both personally and professionally.Problem-solving excites you, whether you’re working independently or collaborating as part of a team.You enjoy tackling new and uncertain challenges, no two days are the same.Your strong attention to detail and time management skills ensure you stay efficient while keeping the bigger picture and company deadlines in focus.Ability to work under pressure.Strong communication and interpersonal skills.Customer-first attitude with a proactive mindset.Professional, reliable, and adaptable to changing priorities.Key ResponsibilitiesEngage Engage directly with customers to gather requirements, present solutions, proposals, and ensure alignment with their business goals.Design, develop, and maintain software applications with a focus on usability, scalability, and performance.Manage multiple projects and priorities, often switching between tasks and customer needs.Work closely with internal teams (engineering, operations, and sales) to deliver end-to-end solutions.Uphold best practices for data security and privacy, ensuring all customer information is handled with care and in compliance with relevant standards.Identify opportunities for process improvements and contribute to continuous innovation.Qualifications & ExperienceStrong experience in full stack software development using JavaScript/TypeScript, Python, and related frameworks.Integration experience - successfully connected various software systems, databases, payment services, cloud platforms, and third-party applications to create seamless workflows and data exchange between different business tools.Hands-on experience building applications with Large Language ModelsStrong organisational skills to manage multiple concurrent projects across all stages of software development and deployment lifecycle.Excellent interpersonal and communication skills, with the ability to explain technical concepts to non-technical audiences.Proven ability to operate in fast-paced, dynamic environments with shifting priorities.Demonstrated understanding of data management, governance, and privacy principles.Customer-facing experience (consulting, solution engineering, pre-sales, or similar) is highly desirable.Skills & AttributeAdaptable and resilient in handling new or changing tasks.Naturally collaborative with a strong sense of accountability.Curious and innovative, with a passion for delivering customer success.Detail-oriented, especially when it comes to data security and compliance.Our ValuesMake it Happen: We’re passionate about you – our customers, our people, our families, our business. It makes us happy when we provide you with a great experience, and we never want to let you down.Communicate with Purpose: We want to communicate with you, so you know what’s going on – and we love to listen too!Trust is a Must: You can rely on us as your “safe pair of hands”. A trusted employer, a trusted partner, a trusted supplierCulture Counts: We want to create a great place to come to work. We want to have fun, be creative and bounce off each other. We celebrate our differences; our complimentary skills and we value friendship.Experience Matters: We value the reputation of our business and our team. We value the knowledge of the solutions we sell, because we’ve done it many times before.One Solution actively encourages applications from individuals of all genders and backgrounds, recognising that a diverse team contributes to innovation and success.We work hard to ensure equality extends to creating an environment where everyone feels valued and empowered to reach their full potential. At One Solution, we don’t just solve problems, we build relationships. If you want to find more about us visit our website at https://onesolution.net.au/.If you’re passionate about technology and driven to deliver exceptional service, we’d love to hear from you.Please submit your application through SEEK with a pdf copy of your CV.",data\raw\Unknown_Company_Software DeveloperEngineer Cus_87119498_20250926_134553,2025-09-26T13:45:59.139158
https://www.seek.com.au/job/86997972?type=standard&ref=search-standalone#sol=8ad5b3a6b14f54e7740458123e4ac90a2479ff37,Data Engineer,Adelaide SA(Hybrid),Engineering - Software (Information & Communication Technology),Full time,,"For 35 years, HomeStart has been breaking down barriers to help South Australians achieve home ownership. As a leader of innovative housing finance, we combine commercial acumen with a strong social purpose — and our people are at the heart of everything we do.HomeStart are seeking a highly skilled Data Engineer to join our Data & Analytics team on a 12 month, fixed term contract. From legacy system transformation to implementing modern data engineering practices, you'll shape how data drives decision-making for thousands of South Australian families.Your Impact:In this pivotal role, you will:Design, develop, and monitor data pipelines (ELT) to integrate and transform diverse data sources.Design, develop and optimise modern data warehouse and modelling solutions to support reporting, self-service, and advanced analytics.Develop data applications, interactive visualisations, dashboards, paginated reports, and advanced analytics solutions to enable data-driven decision-making.Produce and maintain technical and design documentation, along with business/technical metadata.Collaborate with business stakeholders to understand data needs, validate insights, and enhance data literacy.Advocate and implement data management standards and best practices.What You'll Bring:Essential:5+ yearsin data engineering, data warehousing, or software engineeringCloud expertisewith platforms like Snowflake and modern data warehouse solutionsStrong SQL skillsand proficiency in Python (or equivalent programming language)BI tool mastery, particularly Power BI for creating compelling visualisationsDevOps mindsetwith Azure DevOps, CI/CD pipelines, and version control experienceProblem-solving excellencewith proven ability to work autonomouslyCommunication skillsto engage effectively with diverse stakeholdersHighly Valued:Financial services industry knowledgeExperience with AWS/Azure cloud platforms and their servicesAdvanced analytics background including statistical methods, predictive modelling, or machine learningUnderstanding of data governance and management frameworksWhy HomeStart?At HomeStart, we believe in opportunity, determination, openness, and simplicity. We’re driven by the stories of those we help and the impact we make. Join a purpose driven organisation where your legal expertise directly supports South Australian communities.We offer competitive remuneration, professional development, flexible working arrangements, and the satisfaction of meaningful work that makes a real difference.Please contactcareers@homestart.com.auif you wish to discuss this opportunity further.To apply:Applications close at 5pm Monday, 15 September 2025and are only accepted via seek.com.au.  Please provide a cover letter, current curriculum vitae and include the name and contact details of three current professional referees.Please note candidate screening and interviews may commence prior to the closing date of the job advert, and you will only be contacted if you progress to interview.  We also reserve the right to close this vacancy early.All new employees are required to provide a satisfactory National Criminal History Record (Police Check) prior to commencement.HomeStart is an equal opportunity employer that supports a diverse, inclusive and safe place to work where everyone belongs, and everyone feels at home.  All applicants will receive consideration for employment without regard for gender identity or expression, sexual orientation, disability, culture, national origin or age.",data\raw\Unknown_Company_Data Engineer_86997972_20250926_134621,2025-09-26T13:46:26.590799
https://www.seek.com.au/job/87025272?type=standard&ref=search-standalone#sol=94b82a9044f247e60998d3ebe5627df8e6c49a26,Software Developer and Application Support,"Fullarton, Adelaide SA",Developers/Programmers (Information & Communication Technology),Full time,"$90,000 – $100,000 per year depending on exp.","Your Nursing Agency (YNA) is an entity within the Torrens Health group and is 100% South Australian owned and managed. We provide staff and technical support solutions in the health sector, nationally.About the RoleYNA is seeking aSoftware Developer & Application Support professionalto join our Fullarton, Adelaide team. This full-time role (38 hours per week) focuses on developing and maintaining software applications, resolving system issues, and supporting users to ensure smooth business operations. You will play a key role in improving functionality, performance, and reliability across YNA’s digital systems, while also providing technical support for critical processes such as payroll, invoicing, and business continuity.Key ResponsibilitiesAssist in developing and maintaining software applications, writing clean, efficient, and scalable code.Debug and troubleshoot issues in existing systems, ensuring timely resolutions.Collaborate with development teams to integrate new features and enhance existing functionalities.Maintain technical documentation, including system designs and user guides.Design and execute functional, integration, and performance test cases.Identify, log, and track software defects, collaborating with developers to resolve them.Automate repetitive test cases to enhance efficiency and ensure consistent outcomes.Validate that software meets functional and non-functional requirements before release.Investigate and resolve user-reported software issues.Provide technical assistance during software deployment and user onboarding.Analyse common user pain points to inform development and testing priorities.Work closely with product managers, developers, and QA teams to align development efforts with project goals.Communicate technical constraints, opportunities, and progress clearly to stakeholders.Monitor and evaluate software performance metrics, such as reliability, response times, and defect rates.Use testing tools and analytics to identify areas for system optimisation.Prepare reports summarising testing outcomes and development milestones.Support payroll and invoicing, ensuring processes are completed within the cutoff timeSupport technical staff for disaster recovery and BCPBe flexible and adaptable to support additional business needs as they arise.This role may includeoccasional national travel.Qualifications and Experience:Bachelor's degree in Information Technology, Computer Science, or a related field.Minimum 5 years' experiencein a software developer/ application support role.Strong analytical, communication, and collaboration skills.Proficiency in:XSLTNET FrameworkC#VB.NETFlutterBootstrapjQueryMS SQLEntity FrameworkHTML5JavaScript (ES6)WordPress + PHPJoin Our Team:If this sounds like you, we encourage you to “apply now” via Seek, including a cover letter outlining your skills and experience and addressing the above criteria. Our screening process will commence immediately.Torrens Health is committed to and inclusive workforce and encourages applications from people of culturally diverse backgrounds, including those who identify as part of the Australian Aboriginal and/or Torres Strait Islander Community.",data\raw\Unknown_Company_Software Developer and Applica_87025272_20250926_134553,2025-09-26T13:45:58.444884
https://www.seek.com.au/job/87257714?type=standard&ref=search-standalone#sol=57ca388b3387beca0d43fc52b43195fb44867fb4,Software Engineer,Adelaide SA(Hybrid),Engineering - Software (Information & Communication Technology),Full time,,"THE FUTURE IS WHAT WE MAKE IT.Software EngineerAdelaideStart your career by making an impact and real connections with some of the most meaningful challenges around. When you join Honeywell, you become a member of our performance culture comprised of diverse leaders, thinkers, innovators, dreamers, and doers who are changing the future.Make the Best You.Working at Honeywell is not just creating incredible things. You will collaborate with top minds, grow through continuous learning, and thrive in an environment that rewards and celebrates achievements.Join Us and Make an ImpactAs a Software Engineer, you'll work with our cross functional teams to develop efficient and robust solutions that deliver value for a customers. Along with the wider Product Development team, you'll be involved in all stages of the software development lifecycle including gathering requirements, solution design, development, testing and deployment.Key Responsibilities:·         Work with a modern stack which includes Node, React, Redux, Postgres, Mongodb, Redis and SNS - all running in AWS.·         Develop front-end and back-end code using TypeScript/JavaScript technologies (NodeJS, React, Angular) and associated web technologies (HTML, CSS)·         Build microservices using Docker, Kubernetes and AWS.·         Build quality software using tools such as JIRA and Bitbucket·         Foster team development by reviewing code, providing constructive suggestions and mentoring other team members·         Apply and promote high-quality engineering practices·         Provide relative estimates for the development effort, validate and improve continuously.·         Provide operational support of the solution, responding to production alarms on a rostered basisKey Experience & Capabilities:·         Practical experience developing software solutions in a comparable software stack·         Strong JavaScript background in web applications and Node.js·         Front End Skills using TypeScript and/or JavaScript and a modern framework such as React, Angular and Vue·         Backend development skills using JavaScript in NodeJS or other languages such as Java, PHP, C# and Ruby·         Solid understanding of security, web standards and architecture·         Ability to understand both functional and non-functional requirements of a solution which are built for scale·         Good principles of software design and architecture·         RESTful API design·         Understanding of relational database concepts·         Working knowledge of React and AngularJS·         Strong understanding of Service-Oriented Architecture (SOA)Who We AreThe Future Is What We Make It at Honeywell. From sustainable aviation fuel and life-saving healthcare sensors to collaborating on every NASA space mission since the 1950’s, over 100 years of innovation has always been driven by an investment in our people.Learn more about Honeywell: https://www.youtube.com/watch?v=CG-rmG0eKLkDiscover MoreOur focus at Honeywell is innovation that drives business, improves the bottom line and creates solutions for our customers and communities around the world. There’s a lot for you to discover. Our solutions, our case studies, our #Futureshapers, and so much more.Honeywell is an equal opportunity employer, and we support a diverse workforce. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status. Aboriginal and Torres Strait Islander peoples are encouraged to apply.Honeywell is a proud advocate of the LGBTQ+ community and we are celebrating Pride Month in the Pacific by launching Pride Connect, our LGBTQ+ employee network, we encourage members of the LGBTQ+ community to apply to join our team of future shapers.For more information on how we process your information in the job application process, please refer to honeywell.com/us/en/privacy-statement.If a disability prevents you from applying for a job through our website, emailaccessibility@honeywell.com. No other requests will be acknowledged.Copyright © 2024 Honeywell International Inc.",data\raw\Unknown_Company_Software Engineer_87257714_20250926_134647,2025-09-26T13:46:52.542602
https://www.seek.com.au/job/87450767?type=standard&ref=search-standalone#sol=f992061aafd0d400ccd185bda3799c4d96e5f519,Data Engineer,Adelaide SA(Hybrid),Database Development & Administration (Information & Communication Technology),Full time,up to $180K (inc super) dep. on exp.,"As someone with significant professional work experience in Data Engineering, Business Intelligence (BI) and Analytics, and an expert withMicrosoftdata toolsSSIS / SSRS / SSAS,Fabric,Databricks,SQL Server,and experience inAzure data toolsincludingData Factory- you understand the value of data to help solve business problems.You’re happy to roll up your sleeves and see projects through from end-to-end including mapping business processes, conduct requirements analysis, and documentation. Most importantly you understand that your role is all about helping our client's source, transform and interpret data into actionable metrics to optimise their business. A consultative mindset is a must!Our team of broadly experienced Consultants, work on a diverse portfolio of client, projects, and innovation initiatives - some of which will make you the envy of your peers.Applicants must hold Australian Citizenship, Permanent Residency (PR), or other permanent work rights – DWS are unable to sponsor or support visas.Location:Adelaide, SAStyle:Hybrid; approx 3 days in CBD office + work form homeType:Permanant, full timeStart:ASAPSalary:up to $180K package (inc super), depending on experienceRequired skills and experience:Previous experience in a similar role as aSeniorData EngineerroleCertifiedin at least one of:Databricks(fundamentals or higher),Fabric Data Engineering(DP-700),Azure(AZ-900)Significant, commercial, hands-on experienceacross the full Microsoft on-prem BI stackSSIS + SSRS + SSAS(both tabular and multidimensional)Advanced skills inSQL ServerandSSMSExperience withAzuredata tools;Databricks,Data Factory,Data Lakeetc.StrongPythonskills, with experience inPySparkExperience working in acomplex enterprise data warehouseenvironmentSolidAgileenvironment experienceKnowledge and experience ofDWH, Data Lakes, andanalytics best practiceAWSexperience & certifications, highly regardedAbility todevelop requirements into actionable business analyticsstrategies, roadmaps, and solutionsAble to quicklybuild strong relationships with decision-makers, and become their trusted advisorWorking at DWS offers you:Ongoing professional and career developmentPaid learning and certifications (chosen entirely by you), with completion bonusesAn active social club that hosts regular, subsidised eventsCorporate discounts on a range of services and products, including health insurance, gym memberships, Apple products and much moreAbout Us:Established in 1991, DWS is a professional Technology Consultancy and part of HCLTech. With offices across Australia, we have over 800 employees in Melbourne, Sydney, Adelaide, Brisbane and Canberra; providing services to a broad range of blue-chip corporate clients, as well as Federal, State and Local Government agencies. We provide a wide range of services including; IT consulting, managed application services, project management, customer driven innovation, digital transformation, data and business analytics, strategic advisory and productivity, and robotic process automation.DWS encourages applications from Aboriginal and Torres Strait Islander peoples.Ready for a new challenge? ClickAPPLY now!www.dws.com.auNo agencies please – our in-house talent acquisition team have this covered.",data\raw\Unknown_Company_Data Engineer_87450767_20250926_134646,2025-09-26T13:46:52.047401
https://www.seek.com.au/job/87090945?type=standard&ref=search-standalone#sol=a5df0c136e6e6dd5d7b715749525135863698706,Senior/Mid-Level Full Stack Engineer,"Mawson Lakes, Adelaide SA(Hybrid)",Engineering - Software (Information & Communication Technology),Contract/Temp,$65 – $95 per hour,"Senior/Mid-Level Full Stack Engineer | 12-Month ContractWe are seeking a talented and motivated Full Stack Engineer to join our growing team. We're looking for individuals ranging from mid-level to senior experience to contribute to the development of innovative and secure solutions. This 12-month contract role offers a hybrid work arrangement (based North of Adelaide) and the potential for extension. You'll join a high-calibre team building and scaling solutions for government and enterprise clients.Remuneration will be commensurate with experience.About YouTo be considered for this role, you must hold Australian Citizenship and already possess Baseline Security Clearance. We're looking for a technically proficient engineer who is comfortable contributing across the full stack and thrives in a collaborative environment. A familiarity with AI/ML concepts is highly advantageous.You have a solid understanding of front-end and back-end development principles and are comfortable working with modern web technologies and databases. You’re eager to learn, contribute to architectural discussions, and deliver high-quality solutions.ResponsibilitiesAs a Full Stack Engineer, you will:Design, develop, and deploy scalable and secure web applications and microservices.Build and maintain RESTful APIs and integrate with various data sources.Develop responsive and user-friendly front-end interfaces using modern JavaScript frameworks.Implement CI/CD pipelines for automated testing, building, and deployment.Work with databases to design, implement, and optimise data models.Collaborate with stakeholders to gather requirements and deliver high-quality solutions.Contribute to architectural decisions and best practices.Explore and integrate AI/ML components into applications where appropriate.(For Senior Engineers) Mentor junior developers and lead technical initiatives.Required Skills & ExperienceSolid experience with front-end technologies like TypeScript, React, or Angular.Experience designing and building backend microservices.Knowledge of relational databases such as PostgreSQL.Experience with CI/CD pipelines and tools (e.g., GitLab CI/CD).Proficiency in a modern programming language (e.g., JavaScript, Python).Experience with containerisation technologies (e.g. Docker).Strong understanding of software development principles and best practices.Bonus QualificationsExperience with Docker and container orchestration platforms (e.g., Kubernetes).Knowledge of AI/ML concepts and experience integrating them into applications.Experience in secure, regulated, or government environments.Qualifications & Clearance RequirementsBachelor’s or Master’s Degree in Computer Science, Software Engineering, or a related discipline.Australian Citizenship is mandatory.Baseline Security Clearance is a strict requirement for this role.About UsWe are a forward-thinking technology team delivering secure, scalable, and intelligent solutions for government and enterprise clients. Our work spans advanced machine learning, high-performance systems, and DevSecOps excellence. Join a collaborative, high-impact environment where you’ll shape the future of technology. We value learning and development, and provide opportunities for growth within our team.",data\raw\Unknown_Company_SeniorMid-Level Full Stack Eng_87090945_20250926_134643,2025-09-26T13:46:48.329871
https://www.seek.com.au/job/86940896?type=standard&ref=search-standalone#sol=2ee15f3812914f6a316655cb62cdca5ced26c4a8,Full Stack Web App Developer,"Para Hills West, Adelaide SA",Developers/Programmers (Information & Communication Technology),Full time,,"Join our team and secure your next opportunity in a career with a Professional and Innovative Company.Our Group develops leading green asset management solutions, centralised administrative and management tools, end to end workflows, and works management software. We are currently servicing clients across Australia, government agencies, local councils, education institutions and open space and facilities management organisations.We are seeking an exceptional Full-Stack Developer with rare expertise at the intersection of GIS, UX, and Cloud Engineering.This role is central to the development of our platform, used to map, assess, and manage green assets at scale.Flexibility of hours to respond to company requirements including weekend work.ResponsibilitiesDevelop geospatial software plotting green assets, managing it from its legislative status right through to any completed works, including regular annual inspections and risk managementEngineer the business workflow system from CRM through to fleet management and QSEAccept brief, interpret and deliver initial design, approval by IT committee, Alpha testing and then product release, ongoing maintenance as requiredManage key working relationships with the IT management teamManage development backlog and current projectsCreation and management of platform independent browser driven applicationsData workflow managementThe successful candidate will need to be highly competent at problem solving and show a high degree of excellence in their craft. They will need to be highly effective, whilst holding personal attributes of reliability, honesty and integrity.Key Requirements (must-have):Full-Stack development expertise across:.NET (C#)JavaScript / TypeScriptPythonR (statistical modelling & geospatial analysis)User Experience (UX) DesignProven track record creating intuitive, field-ready interfacesAbility to translate complex data into usable dashboardsGIS SpecialistDeep understanding of geolocation, spatial analysis, and mapping systemsExperience integrating aerial/satellite imagery, LiDAR, and field-collected geodataFamiliarity with arboriculture, environmental assets, or natural resource datasets a plusCloud Deployment & DevOpsDocker containerisation and app packaging for scalable deploymentExperience with AWS / Azure / GCP environmentsCI/CD pipelines for rapid, secure deliveryGreen Asset AssessmentKnowledge of urban forestry, arboriculture, or environmental asset managementAbility to design systems that assess risk, health, and lifecycle of living assetsBack End API handling using interface and JSON parsersExperience of agile/scrum development methodologiesExperience of Version Controlling best practicesClaris FileMaker experienceSoft Skills & Values:Sharp problem-solver who thrives oncomplex, interdisciplinary challengesCollaborative mindset, able to work across DevOps, arborists, and environmental consultantsHigh standards forquality, ethics, and sustainabilityPassion for buildingtools that make a real differencein green asset managementExceptional communication skillsAdvanced English speaking and writing abilityPerforms well under pressureSelf-motivated to drive outcomes in a high demand working environmentAdaptable and responsive to changing requirementsThis is a great opportunity, in a pivotal role working with the Innovation team. As a Group our values drive all that we do; Respect, Innovation, Safety and Empowerment. They reflect in the successful long term tenure of many of our staff, who have continued to work in a healthy and positive work culture.What We Offer:Work oncutting-edge GIS and environmental techwith national-level impact.Collaborative, R&D-driven environment whereinnovation is encouraged.Opportunity to shape thefuture of green asset technology.To apply: Click 'Apply Now'.",data\raw\Unknown_Company_Full Stack Web App Developer_86940896_20250926_134709,2025-09-26T13:47:14.976029
