ip,port,country,anonymity,type,speed,uptime,fetched_at
23.227.38.134,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
185.162.229.180,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
195.85.23.58,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
45.12.30.167,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
45.159.216.72,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
162.240.19.30,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
36.255.87.133,83,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
154.118.231.30,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
41.191.203.160,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
194.152.44.187,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
141.101.121.50,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
141.101.120.129,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
185.162.231.140,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
141.101.120.25,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
141.101.120.52,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
185.162.229.11,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
172.67.70.181,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
23.227.39.171,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
185.162.228.55,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
141.101.120.39,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
141.101.122.154,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
141.101.121.184,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
185.112.151.207,8022,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
128.140.113.110,999,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
172.67.70.207,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
199.34.229.91,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
172.67.161.196,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
216.24.57.252,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
45.131.6.117,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
45.131.6.102,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
160.123.255.150,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
173.245.49.96,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
45.131.6.223,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
45.131.6.141,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
141.101.122.78,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
164.38.155.74,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
172.67.167.250,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
185.170.166.46,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
185.162.229.133,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
141.101.122.19,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
23.227.38.24,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
172.67.75.92,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
190.242.157.215,8080,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
138.68.60.8,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
123.141.181.49,5031,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
160.251.142.232,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:58:27.804772
