ip,port,country,anonymity,type,speed,uptime,fetched_at
187.44.211.118,4153,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
41.59.90.168,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
98.175.31.195,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
142.54.228.193,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
142.54.232.6,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
199.58.184.97,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
142.54.226.214,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
199.102.107.145,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
192.111.139.165,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
8.219.97.248,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
124.108.6.20,8085,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
68.185.57.66,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
158.255.77.168,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
185.176.24.144,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
66.235.200.109,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
172.67.70.109,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
207.154.230.54,14273,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
203.156.190.5,5678,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
129.205.244.158,1080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
213.249.123.18,1080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
59.103.173.254,8520,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
45.73.0.118,5678,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
138.68.60.8,3128,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
206.220.175.2,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
198.8.84.3,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
47.89.184.18,3128,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
190.58.248.86,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
103.214.109.70,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
72.49.49.11,31034,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
142.54.237.34,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
72.195.101.99,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
198.199.86.11,3128,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
4.195.16.140,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
172.67.208.217,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
81.143.236.200,443,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
197.215.220.18,1080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
211.230.49.122,3128,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
103.180.223.7,1080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
47.252.29.28,11222,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
24.37.120.42,1080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
68.71.249.153,48606,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
68.71.254.6,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
199.102.106.94,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
43.135.36.240,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
192.252.209.155,14455,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
192.111.137.35,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
192.111.130.2,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
5.182.34.145,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
57.129.81.201,999,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
154.194.12.125,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
12.218.209.130,13326,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
38.54.71.67,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
156.38.112.11,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
188.40.57.101,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
103.65.237.92,5678,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
82.200.235.134,51614,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
172.67.117.192,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
173.245.49.166,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
66.235.200.144,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
172.67.229.22,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
143.42.66.91,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
24.249.199.12,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
192.252.211.197,14921,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
32.223.6.94,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
23.237.210.82,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
141.101.122.7,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
108.162.198.210,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
72.195.34.59,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
222.59.173.105,44101,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
141.193.213.118,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
23.227.39.117,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
138.68.60.8,1080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
188.114.99.17,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
141.193.213.224,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
172.67.70.13,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
141.101.121.250,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
108.162.198.206,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
141.101.121.185,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
23.227.39.77,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
141.101.120.111,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
31.43.179.55,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
45.12.31.235,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
108.162.198.78,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
141.101.121.74,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
108.162.198.123,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
141.101.120.100,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
173.245.49.241,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
89.116.250.240,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
35.241.172.224,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
79.106.170.126,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
82.130.202.219,43429,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
185.112.151.207,8022,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
192.111.137.37,18762,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
68.1.210.189,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
161.35.70.249,8080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
216.24.57.28,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
185.162.229.123,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
141.101.122.198,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
40.76.13.119,51080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
23.227.39.81,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
141.101.120.217,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
141.101.122.76,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
185.170.166.88,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
45.131.7.181,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
23.227.38.248,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
183.109.79.187,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
172.67.68.234,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-24T22:57:36.913821
