ip,port,country,anonymity,type,speed,uptime,fetched_at
72.195.101.99,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
5.182.34.193,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.67.181.61,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
108.162.194.4,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.67.70.42,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
108.162.195.27,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
45.12.30.153,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.64.149.158,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.67.189.42,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
45.131.4.247,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
45.131.5.49,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
103.21.244.182,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.67.231.154,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.67.181.103,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
160.153.0.158,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
45.12.31.2,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
45.131.4.119,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
172.67.221.120,80,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
170.244.27.142,8888,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
58.216.109.14,800,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
36.136.27.2,4999,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
216.68.128.121,4145,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
222.252.194.29,8080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
115.127.132.225,1080,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
222.66.69.78,23344,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
140.238.184.182,3128,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
154.16.146.42,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
69.61.200.104,36181,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
89.58.57.45,80,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
222.59.173.105,44011,Unknown,transparent,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
42.96.16.158,1311,Unknown,elite,Unknown,Unknown,Unknown,2025-09-26T00:27:04.488472
